,Травы ОПП
DT1,33
DT2,37
DT3,33
DT4,26
DT5,16
DT6,21
DT7,24
DT8,18
DT9,24
DT10,25
LS1,19
LS2,48
LS3,39
LS4,49
LS5,35
LS6,17
LS7,23
LS8,38
LS9,15
LS10,26
DL1,10
DL2,5
DL3,4
DL4,9
DL5,13
DL6,5
DL7,1
DL8,2
DL9,7
DL10,0
WS1,0
WS2,1
WS3,0
WS4,0
WS5,0
WS6,1
WS7,0
WS8,0
WS9,0
WS10,0
YF1,19
YF2,20
YF3,31
YF4,8
YF5,9
YF6,8
YF7,7
YF8,2
YF9,7
YF10,4
FF1,1
FF2,2
FF3,2
FF4,1
FF5,1
FF6,1
FF7,0
FF8,2
FF9,1
FF10,1
FG1,16
FG2,7
FG3,10
FG4,14
FG5,13
FG6,3
FG7,13
FG8,8
FG9,6
FG10,8
