,Лишайники
DT1,0
DT2,0
DT3,0
DT4,0
DT5,0
DT6,0
DT7,0
DT8,0
DT9,0
DT10,0
LS1,0
LS2,0
LS3,0
LS4,0
LS5,0
LS6,0
LS7,0
LS8,0
LS9,0
LS10,0
DL1,2
DL2,0
DL3,2
DL4,1
DL5,5
DL6,0
DL7,1
DL8,0
DL9,5
DL10,1
WS1,0
WS2,0
WS3,0
WS4,0
WS5,0
WS6,0
WS7,0
WS8,0
WS9,0
WS10,0
YF1,25
YF2,53
YF3,3
YF4,35
YF5,28
YF6,30
YF7,38
YF8,39
YF9,34
YF10,32
FF1,88
FF2,57
FF3,83
FF4,96
FF5,126
FF6,100
FF7,104
FF8,47
FF9,65
FF10,100
FG1,92
FG2,65
FG3,67
FG4,59
FG5,55
FG6,45
FG7,33
FG8,35
FG9,19
FG10,35
